Date,Open,High,Low,Close,Adj Close,Volume
30/05/2017,19681.10938,20239.81055,19570.13086,20170.82031,20170.82031,550700000
6/06/2017,20122.25977,20152.94922,19837.64063,19908.58008,19908.58008,583900000
13/06/2017,19859.81055,20087.71094,19755.33984,20067.75,20067.75,512100000
20/06/2017,20234.11914,20318.10938,20089.53906,20153.34961,20153.34961,436300000
27/06/2017,20229.11914,20266.58984,19946.50977,20055.80078,20055.80078,524600000
4/07/2017,20192.26953,20197.16016,19856.65039,20080.98047,20080.98047,465200000
11/07/2017,20073.85938,20200.88086,20061.16016,20118.85938,20118.85938,332300000
18/07/2017,20074.41016,20157.10938,19901.88086,19975.66992,19975.66992,415400000
25/07/2017,19979.56055,20176.39063,19891.90039,19925.17969,19925.17969,494300000
1/08/2017,19907.08008,20113.73047,19904.7207,20055.89063,20055.89063,446800000
8/08/2017,20062.65039,20076.80078,19486.48047,19537.09961,19537.09961,397300000
15/08/2017,19689.38086,19824.11914,19365.65039,19393.13086,19393.13086,402600000
22/08/2017,19373.10938,19561.32031,19351.91992,19449.90039,19449.90039,364600000
29/08/2017,19319.10938,19735.96094,19280.01953,19508.25,19508.25,415800000
5/09/2017,19533.38086,19567.0293,19239.51953,19545.76953,19545.76953,433300000
12/09/2017,19736.14063,19933.40039,19718.80078,19909.5,19909.5,380000000
19/09/2017,20128.17969,20481.26953,20122,20397.58008,20397.58008,515400000
26/09/2017,20349.25977,20411.33008,20213.66016,20400.7793,20400.7793,395300000
3/10/2017,20475.25,20721.15039,20438.16992,20690.71094,20690.71094,279500000
10/10/2017,20680.53906,21347.07031,20663.08008,21255.56055,21255.56055,451700000
17/10/2017,21352.16992,21723.59961,21230.66992,21696.65039,21696.65039,422800000
24/10/2017,21670,22086.88086,21646.51953,22011.66992,22011.66992,548800000
31/10/2017,21897.28906,22644.67969,21840.07031,22548.34961,22548.34961,432600000
7/11/2017,22518.75,23382.15039,22380.99023,22380.99023,22380.99023,555700000
14/11/2017,22342.92969,22757.40039,21972.33984,22261.75977,22261.75977,498500000
21/11/2017,22456.78906,22677.33984,22381.00977,22495.99023,22495.99023,288600000
28/11/2017,22474.74023,22994.31055,22363.93945,22707.16016,22707.16016,466800000
5/12/2017,22595.33008,22938.73047,22119.21094,22938.73047,22938.73047,429100000
12/12/2017,22936.41016,22994.33008,22478.32031,22901.76953,22901.76953,447200000
19/12/2017,22961.4707,22990.41992,22728.06055,22939.17969,22939.17969,313700000
26/12/2017,22922.94922,22954.44922,22736.42969,22764.93945,22764.93945,190400000
2/01/2018,23073.73047,23730.4707,23065.19922,23714.5293,23714.5293,204100000
9/01/2018,23948.9707,23952.60938,23588.07031,23714.88086,23714.88086,435700000
16/01/2018,23721.16992,24084.41992,23697.81055,23816.33008,23816.33008,387100000
23/01/2018,23924.40039,24129.33984,23580.16992,23629.33984,23629.33984,390800000
30/01/2018,23559.33008,23581.98047,22659.42969,22682.08008,22682.08008,496600000
6/02/2018,22267,22353.86914,21078.71094,21382.61914,21382.61914,565900000
13/02/2018,21633.33984,22152.84961,20950.15039,22149.21094,22149.21094,451300000
20/02/2018,22054.32031,22226.5293,21626.84961,22153.63086,22153.63086,351900000
27/02/2018,22391.66992,22502.05078,20937.25977,21042.08984,21042.08984,437700000
6/03/2018,21390.19922,21971.16016,21201.93945,21824.0293,21824.0293,416600000
13/03/2018,21742.44922,21968.09961,21366.88086,21480.90039,21480.90039,341400000
